isNode,name,x,y,color,radius,community,from,to

true,BrighamYoung,,,,,7,,
true,FloridaState,,,,,0,,
true,Iowa,,,,,2,,
true,KansasState,,,,,3,,
true,NewMexico,,,,,7,,
true,TexasTech,,,,,3,,
true,PennState,,,,,2,,
true,SouthernCalifornia,,,,,8,,
true,ArizonaState,,,,,8,,
true,SanDiegoState,,,,,7,,
true,Baylor,,,,,3,,
true,NorthTexas,,,,,10,,
true,NorthernIllinois,,,,,6,,
true,Northwestern,,,,,2,,
true,WesternMichigan,,,,,6,,
true,Wisconsin,,,,,2,,
true,Wyoming,,,,,7,,
true,Auburn,,,,,9,,
true,Akron,,,,,6,,
true,VirginiaTech,,,,,1,,
true,Alabama,,,,,9,,
true,UCLA,,,,,8,,
true,Arizona,,,,,8,,
true,Utah,,,,,7,,
true,ArkansasState,,,,,10,,
true,NorthCarolinaState,,,,,0,,
true,BallState,,,,,6,,
true,Florida,,,,,9,,
true,BoiseState,,,,,11,,
true,BostonCollege,,,,,1,,
true,WestVirginia,,,,,1,,
true,BowlingGreenState,,,,,6,,
true,Michigan,,,,,2,,
true,Virginia,,,,,0,,
true,Buffalo,,,,,6,,
true,Syracuse,,,,,1,,
true,CentralFlorida,,,,,5,,
true,GeorgiaTech,,,,,0,,
true,CentralMichigan,,,,,6,,
true,Purdue,,,,,2,,
true,Colorado,,,,,3,,
true,ColoradoState,,,,,7,,
true,Connecticut,,,,,5,,
true,EasternMichigan,,,,,6,,
true,EastCarolina,,,,,4,,
true,Duke,,,,,0,,
true,FresnoState,,,,,11,,
true,OhioState,,,,,2,,
true,Houston,,,,,4,,
true,Rice,,,,,11,,
true,Idaho,,,,,10,,
true,Washington,,,,,8,,
true,Kansas,,,,,3,,
true,SouthernMethodist,,,,,11,,
true,Kent,,,,,6,,
true,Pittsburgh,,,,,1,,
true,Kentucky,,,,,9,,
true,Louisville,,,,,4,,
true,LouisianaTech,,,,,11,,
true,LouisianaMonroe,,,,,10,,
true,Minnesota,,,,,2,,
true,MiamiOhio,,,,,6,,
true,Vanderbilt,,,,,9,,
true,MiddleTennesseeState,,,,,10,,
true,Illinois,,,,,2,,
true,MississippiState,,,,,9,,
true,Memphis,,,,,4,,
true,Nevada,,,,,11,,
true,Oregon,,,,,8,,
true,NewMexicoState,,,,,10,,
true,SouthCarolina,,,,,9,,
true,Ohio,,,,,6,,
true,IowaState,,,,,3,,
true,SanJoseState,,,,,11,,
true,Nebraska,,,,,3,,
true,SouthernMississippi,,,,,4,,
true,Tennessee,,,,,9,,
true,Stanford,,,,,8,,
true,WashingtonState,,,,,8,,
true,Temple,,,,,1,,
true,Navy,,,,,5,,
true,TexasA&M,,,,,3,,
true,NotreDame,,,,,5,,
true,TexasElPaso,,,,,11,,
true,Oklahoma,,,,,3,,
true,Toledo,,,,,6,,
true,Tulane,,,,,4,,
true,Mississippi,,,,,9,,
true,Tulsa,,,,,11,,
true,NorthCarolina,,,,,0,,
true,UtahState,,,,,5,,
true,Army,,,,,4,,
true,Cincinnati,,,,,4,,
true,AirForce,,,,,7,,
true,Rutgers,,,,,1,,
true,Georgia,,,,,9,,
true,LouisianaState,,,,,9,,
true,LouisianaLafayette,,,,,10,,
true,Texas,,,,,3,,
true,Marshall,,,,,6,,
true,MichiganState,,,,,2,,
true,MiamiFlorida,,,,,1,,
true,Missouri,,,,,3,,
true,Clemson,,,,,0,,
true,NevadaLasVegas,,,,,7,,
true,WakeForest,,,,,0,,
true,Indiana,,,,,2,,
true,OklahomaState,,,,,3,,
true,OregonState,,,,,8,,
true,Maryland,,,,,0,,
true,TexasChristian,,,,,4,,
true,California,,,,,8,,
true,AlabamaBirmingham,,,,,4,,
true,Arkansas,,,,,9,,
true,Hawaii,,,,,11,,
false,0,,,,,,FloridaState,BrighamYoung
false,1,,,,,,KansasState,Iowa
false,2,,,,,,NewMexico,BrighamYoung
false,3,,,,,,TexasTech,NewMexico
false,4,,,,,,TexasTech,KansasState
false,5,,,,,,PennState,Iowa
false,6,,,,,,SouthernCalifornia,PennState
false,7,,,,,,ArizonaState,SouthernCalifornia
false,8,,,,,,SanDiegoState,ArizonaState
false,9,,,,,,SanDiegoState,BrighamYoung
false,10,,,,,,SanDiegoState,NewMexico
false,11,,,,,,Baylor,TexasTech
false,12,,,,,,NorthTexas,Baylor
false,13,,,,,,NorthTexas,TexasTech
false,14,,,,,,NorthTexas,KansasState
