isNode,name,x,y,color,radius,community,from,to

true,Beak,,,,,,,
true,Beescratch,,,,,,,
true,Bumper,,,,,,,
true,CCL,,,,,,,
true,Cross,,,,,,,
true,DN16,,,,,,,
true,DN21,,,,,,,
true,DN63,,,,,,,
true,Double,,,,,,,
true,Feather,,,,,,,
true,Fish,,,,,,,
true,Five,,,,,,,
true,Fork,,,,,,,
true,Gallatin,,,,,,,
true,Grin,,,,,,,
true,Haecksel,,,,,,,
true,Hook,,,,,,,
true,Jet,,,,,,,
true,Jonah,,,,,,,
true,Knit,,,,,,,
true,Kringel,,,,,,,
true,MN105,,,,,,,
true,MN23,,,,,,,
true,MN60,,,,,,,
true,MN83,,,,,,,
true,Mus,,,,,,,
true,Notch,,,,,,,
true,Number1,,,,,,,
true,Oscar,,,,,,,
true,Patchback,,,,,,,
true,PL,,,,,,,
true,Quasi,,,,,,,
true,Ripplefluke,,,,,,,
true,Scabs,,,,,,,
true,Shmuddel,,,,,,,
true,SMN5,,,,,,,
true,SN100,,,,,,,
true,SN4,,,,,,,
true,SN63,,,,,,,
true,SN89,,,,,,,
true,SN9,,,,,,,
true,SN90,,,,,,,
true,SN96,,,,,,,
true,Stripes,,,,,,,
true,Thumper,,,,,,,
true,Topless,,,,,,,
true,TR120,,,,,,,
true,TR77,,,,,,,
true,TR82,,,,,,,
true,TR88,,,,,,,
true,TR99,,,,,,,
true,Trigger,,,,,,,
true,TSN103,,,,,,,
true,TSN83,,,,,,,
true,Upbang,,,,,,,
true,Vau,,,,,,,
true,Wave,,,,,,,
true,Web,,,,,,,
true,Whitetip,,,,,,,
true,Zap,,,,,,,
true,Zig,,,,,,,
true,Zipfel,,,,,,,
false,0,,,,,,Double,CCL
false,1,,,,,,Feather,DN16
false,2,,,,,,Feather,DN21
false,3,,,,,,Fish,Beak
false,4,,,,,,Fish,Bumper
false,5,,,,,,Gallatin,DN16
false,6,,,,,,Gallatin,DN21
false,7,,,,,,Gallatin,Feather
false,8,,,,,,Grin,Beak
false,9,,,,,,Grin,CCL
false,10,,,,,,Haecksel,Beak
false,11,,,,,,Hook,Grin
false,12,,,,,,Jet,Beescratch
false,13,,,,,,Jet,DN21
false,14,,,,,,Jet,Feather
false,15,,,,,,Jet,Gallatin
false,16,,,,,,Jonah,Haecksel
false,17,,,,,,Knit,Beescratch
false,18,,,,,,Knit,DN63
false,19,,,,,,Kringel,Double
false,20,,,,,,Kringel,Hook
false,21,,,,,,Kringel,Jonah
false,22,,,,,,MN105,Jonah
false,23,,,,,,MN23,Jet
false,24,,,,,,MN83,Grin
false,25,,,,,,MN83,Haecksel
false,26,,,,,,MN83,Jonah
false,27,,,,,,Mus,Jet
false,28,,,,,,Notch,Beescratch
false,29,,,,,,Notch,Mus
false,30,,,,,,Number1,Beescratch
false,31,,,,,,Number1,DN63
false,32,,,,,,Number1,Jet
false,33,,,,,,Number1,Mus
false,34,,,,,,Number1,Notch
false,35,,,,,,Oscar,Beescratch
false,36,,,,,,Oscar,Double
false,37,,,,,,Oscar,Kringel
false,38,,,,,,Patchback,Fish
false,39,,,,,,Patchback,Jonah
false,40,,,,,,Patchback,MN105
false,41,,,,,,Patchback,MN83
false,42,,,,,,PL,DN63
false,43,,,,,,PL,Knit
false,44,,,,,,PL,Oscar
false,45,,,,,,Quasi,Jet
false,46,,,,,,Ripplefluke,Feather
false,47,,,,,,Ripplefluke,Gallatin
false,48,,,,,,Scabs,Fork
false,49,,,,,,Scabs,Grin
false,50,,,,,,Scabs,Hook
false,51,,,,,,Scabs,MN105
