isNode,name,x,y,color,community,from,to

true,-90,680.97655544046,740.7727283194188,0.27450981736183167/0.16078431904315948/0.42352941632270813,0,,
true,-91,567.61396503307,512.9280469551959,0.9450980424880981/0.7764706015586853/0.8784313797950745,910,,
true,-92,449.36677976930235,430.8965341568462,0.501960813999176/0.7058823704719543/0.4627451002597809,166,,
true,-93,592.4758648654039,392.44331571043745,0.1882352977991104/0.24313725531101227/0.21568627655506134,405,,
true,-94,820.813033894887,432.64828773692864,0.0470588244497776/0.9686274528503418/0.027450980618596077,778,,
true,-95,822.7189731447938,542.8873849242306,0.10196078568696976/0.1921568661928177/0.06666667014360428,388,,
true,-96,867.861324644573,640.6952644192322,0.8627451062202454/0.16862745583057404/0.10980392247438431,572,,
true,-97,775.2361549169764,547.868482510619,0.545098066329956/0.8039215803146362/0.9764705896377563,356,,
true,-98,554.4614763966078,624.3475917453295,0.6705882549285889/0.6705882549285889/0.4470588266849518,1,,
true,-99,500.31898135111237,165.60441700162283,0.27843138575553894/0.9333333373069763/0.9960784316062927,230,,
true,0,547.3757238388228,377.80248599565584,0.9019607901573181/0.0470588244497776/1.0,3,,
true,1,886.9837366637595,563.9442392837439,0.9450980424880981/0.7882353067398071/0.8156862854957581,366,,
true,2,1005.8316910286022,506.58692213633526,0.6274510025978088/0.6470588445663452/0.8039215803146362,765,,
true,3,577.9219857635135,666.6869005652343,0.5490196347236633/0.35686275362968445/0.14901961386203766,569,,
true,4,689.5786407231799,271.5799541791276,0.545098066329956/0.43529412150382996/0.23529411852359772,67,,
true,5,1131.4208260335963,517.3492702804858,0.2235294133424759/0.9686274528503418/0.9450980424880981,4,,
true,6,922.2213951171094,296.8025717106187,0.2823529541492462/0.4745098054409027/0.46666666865348816,5,,
true,7,716.5505234970506,376.4305216303421,0.5607843399047852/0.4745098054409027/0.7490196228027344,156,,
true,8,865.587400716197,310.3027181478727,0.4156862795352936/0.32156863808631897/0.07450980693101883,773,,
true,9,884.5857299246475,40.005004903611166,0.5803921818733215/0.3137255012989044/0.49803921580314636,6,,
true,1000,694.9530782021109,797.8204859244001,0.40392157435417175/0.46666666865348816/0.3686274588108063,7,,
true,-909,930.3995089840633,516.5488073431698,0.12941177189350128/0.5215686559677124/0.34117648005485535,507,,
true,-908,587.5091496987345,778.378815872861,0.9882352948188782/0.7098039388656616/0.9607843160629272,8,,
true,-904,728.6947445844677,362.23620990955675,0.5607843399047852/0.4745098054409027/0.7490196228027344,156,,
true,-907,659.8700720895316,134.66984352078543,0.49803921580314636/0.9529411792755127/0.843137264251709,458,,
true,-906,611.2468788280958,698.3200408459827,0.8588235378265381/0.15294118225574493/0.027450980618596077,9,,
true,600,1119.2190511588415,398.15686454032016,0.16078431904315948/0.125490203499794/0.43529412150382996,10,,
true,601,889.7228437019523,393.13291071835414,0.6470588445663452/0.1882352977991104/0.4274509847164154,11,,
true,602,1009.2047266355554,369.48923731009285,0.7098039388656616/0.5058823823928833/0.3921568691730499,12,,
true,-901,763.2147802205924,468.8948465864557,0.7686274647712708/0.6941176652908325/0.7686274647712708,397,,
true,603,1143.8410924569548,385.33816100670253,0.6235294342041016/0.5490196347236633/0.6470588445663452,13,,
true,-900,650.4806182085214,413.6917225646177,0.7764706015586853/0.7176470756530762/0.8196078538894653,673,,
true,604,487.3914728836441,290.7862429822783,0.545098066329956/0.24313725531101227/0.33725491166114807,554,,
true,-903,749.1748276644573,675.0047333026761,0.9647058844566345/0.03921568766236305/0.886274516582489,14,,
true,605,1150.9008492043858,365.649775285488,0.21960784494876862/0.9882352948188782/0.95686274766922,15,,
true,-902,762.1720952587465,374.16670603574846,0.2862745225429535/0.43921568989753723/0.12156862765550613,876,,
true,606,1037.5111195567217,268.11715243530807,0.48235294222831726/0.4745098054409027/0.42352941632270813,16,,
true,607,1153.4367012420682,405.42432085546653,0.529411792755127/0.7137255072593689/0.7254902124404907,17,,
true,608,1085.7678848575315,432.66182808250454,0.9450980424880981/0.8509804010391235/0.6352941393852234,18,,
true,609,1034.0947989279707,360.5845391661175,0.0313725508749485/0.7333333492279053/1.0,19,,
true,-919,598.8369308265471,753.9886842045831,0.33725491166114807/0.2823529541492462/0.9450980424880981,20,,
true,-916,599.4247640156336,769.086780843424,0.3137255012989044/0.5254902243614197/0.5607843399047852,21,,
true,-918,759.1960864170154,471.665459940642,0.7686274647712708/0.6941176652908325/0.7686274647712708,397,,
true,-917,576.2643981146439,349.9362998174955,0.33725491166114807/0.2666666805744171/0.1921568661928177,655,,
true,610,866.6009273540617,131.3923049765636,0.6392157077789307/0.501960813999176/0.545098066329956,22,,
